Year,Topic,Proportion,Keywords
2005,Topic_3,0.22187177954491324,"mr, question, prime, speaker, foreign, honourable, order, answer, department, defence"
2005,Topic_4,0.08004730466295022,"bill, will, work, per, also, act, can, year, get, say"
2005,Topic_5,0.0925147553051433,"minister, member, time, job, going, million, service, done, program, provide"
2005,Topic_6,0.07469443429308212,"will, health, just, pay, security, issues, every, industry, economic, good"
2005,Topic_7,0.09299981285072763,"$, services, b, pty, australia, minister, department, year, new, c"
2005,Topic_8,0.08377685971810589,"will, tax, house, time, part, years, workplace, amendment, changes, income"
2005,Topic_9,0.10670440769372366,"government, people, australia, cent, national, australians, one, take, need, state"
2005,Topic_10,0.10239463928661068,"labor, new, legislation, party, make, opposition, many, think, important, services"
2006,Topic_1,0.14304245263231802,"australia, minister, member, new, question, debate, point, electorate, howard, world"
2006,Topic_2,0.13408248492200464,"$, research, mr, services, department, human, minister, funding, answer, b"
2006,Topic_3,0.09729598593078063,"cent, mr, issue, system, now, future, education, speaker, people, students"
2006,Topic_4,0.12471824625542646,"government, time, said, prime, house, say, made, party, members, minister"
2006,Topic_5,0.09895949014969244,"will, can, also, support, act, like, year, place, care, much"
2006,Topic_6,0.08145712921913006,"state, last, million, parliament, government, going, amendment, may, whether, interest"
2006,Topic_7,0.08378410614691827,"people, just, us, know, tax, see, fact, part, issues, business"
2006,Topic_8,0.09564676285113785,"bill, one, labor, legislation, work, get, committee, community, report, put"
2006,Topic_9,0.10015527091070499,"australian, per, years, many, think, country, need, important, go, today"
2006,Topic_10,0.04085807098188666,"will, health, private, water, project, nuclear, community, land, medibank, insurance"
2007,Topic_1,0.201683869670969,"mr, prime, question, water, act, committee, australia, security, report, speaker"
2007,Topic_2,0.046555531139891755,"australia, party, think, last, country, tax, section, year, one, something"
2007,Topic_3,0.06064590802236993,"$, million, budget, funding, year, training, program, schools, australia, billion"
2007,Topic_4,0.14241955684570332,"minister, also, information, amendments, indigenous, department, process, provide, including, international"
2007,Topic_5,0.05199383054766014,"will, new, support, economic, money, nsw, important, good, know, increase"
2007,Topic_6,0.07091130861637504,"community, many, care, legislation, business, member, state, small, need, electorate"
2007,Topic_7,0.12862490307808722,"government, bill, can, australian, house, years, member, system, policy, like"
2007,Topic_8,0.07598647540427346,"labor, education, per, now, industry, australian, national, students, commonwealth, future"
2007,Topic_9,0.0889650086921064,"time, cent, one, work, health, members, place, first, australians, today"
2007,Topic_10,0.1322136079825638,"people, government, say, just, get, going, want, said, leader, go"
2008,Topic_1,0.10657676102879225,"government, now, prime, economic, families, cent, see, parliament, working, say"
2008,Topic_2,0.13665361132587006,"people, minister, australian, house, opposition, health, just, make, going, country"
2008,Topic_3,0.07729007301479981,"one, time, national, support, important, education, million, us, billion, local"
2008,Topic_4,0.08143369236264161,"year, policy, know, inflation, scheme, former, put, bank, australia’s, measures"
2008,Topic_5,0.07472454800469222,"$, can, per, labor, place, go, budget, small, great, much"
2008,Topic_6,0.13500978396385213,"member, mr, members, question, community, industry, new, infrastructure, water, south"
2008,Topic_7,0.08533872742835995,"will, bill, australia, said, government’s, state, election, well, money, like"
2008,Topic_8,0.07796869412784758,"tax, new, years, system, business, economy, provide, electorate, member, previous"
2008,Topic_9,0.1504345576235519,"first, financial, think, party, public, leader, point, want, may, order"
2008,Topic_10,0.07456955111959247,"work, also, act, schools, many, program, across, governments, international, particularly"
2009,Topic_1,0.0867280981824328,"$, member, now, said, opposition, million, think, students, make, future"
2009,Topic_2,0.23268308109921398,"minister, question, mr, australia, prime, speaker, international, order, point, countries"
2009,Topic_3,0.06512790316241751,"health, change, community, committee, service, per, must, number, income, assistance"
2009,Topic_4,0.0769765818347381,"legislation, act, also, amendments, can, young, information, house, tax, amendment"
2009,Topic_5,0.0806577123815314,"government, one, say, country, like, services, public, will, regional, last"
2009,Topic_6,0.08790995854544581,"year, also, education, national, billion, program, scheme, small, financial, around"
2009,Topic_7,0.0869988141106133,"will, australia, new, system, made, global, report, funding, part, ensure"
2009,Topic_8,0.09261904967745133,"people, australian, support, work, just, business, us, per, cent, important"
2009,Topic_9,0.0938119216384575,"bill, time, years, know, many, industry, well, members, australians, policy"
2009,Topic_10,0.09648687936769827,"can, jobs, house, going, economy, need, electorate, want, building, school"
2010,Topic_1,0.11619549068224137,"will, government, $, national, question, services, million, policy, education, billion"
2010,Topic_2,0.13111658339260585,"member, australia, opposition, now, prime, labor, say, parliament, want, get"
2010,Topic_3,0.09286237923416318,"tax, cent, leader, scheme, one, economy, great, regional, economic, child"
2010,Topic_4,0.0901320357926812,"health, per, new, know, years, change, need, industry, program, australian"
2010,Topic_5,0.07358989742930677,"issues, service, communities, defence, development, department, within, current, number, without"
2010,Topic_6,0.08217659709188235,"one, way, think, families, like, electorate, two, country, us, members"
2010,Topic_7,0.10961204792520413,"bill, act, legislation, australian, ensure, information, order, amendments, law, commonwealth"
2010,Topic_8,0.09398095072658186,"work, said, australian, make, today, public, leave, school, course, new"
2010,Topic_9,0.1250466047027655,"minister, can, time, house, also, mr, going, last, just, good"
2010,Topic_10,0.08528741302256779,"people, support, community, bill, system, many, place, made, part, issue"
2011,Topic_1,0.12029376674169258,"government, minister, tax, prime, question, policy, say, economy, cost, economic"
2011,Topic_2,0.06995860194697014,"bill, national, budget, amendment, made, legislation, financial, back, labor, information"
2011,Topic_3,0.1178032137542814,"carbon, australian, said, opposition, per, get, now, like, cent, see"
2011,Topic_4,0.20105850263545103,"mr, house, parliament, report, debate, speaker, order, public, many, standing"
2011,Topic_5,0.0945735977733381,"people, one, can, time, support, work, new, us, need, also"
2011,Topic_6,0.08933422079050767,"will, member, years, going, way, many, take, fact, energy, two"
2011,Topic_7,0.08630670740214036,"australian, committee, act, important, government, families, move, issues, members, know"
2011,Topic_8,0.07366718637806985,"australia, bill, also, year, provide, regional, amendments, future, nbn, per"
2011,Topic_9,0.06797079717318376,"just, billion, last, well, australians, community, family, system, queensland, reform"
2011,Topic_10,0.07903340540436511,"$, education, services, health, state, local, school, care, million, funding"
2012,Topic_1,0.08441207537446367,"member, support, year, say, make, today, work, great, future, local"
2012,Topic_2,0.068673294947476,"australia, community, also, australian, school, students, training, women, defence, thank"
2012,Topic_3,0.0855230431111345,"tax, new, going, like, think, public, economy, parliament, right, sector"
2012,Topic_4,0.10552913427011568,"will, australian, $, said, opposition, know, get, australia, put, last"
2012,Topic_5,0.08086675656617587,"bill, will, house, legislation, $, million, us, amendment, scheme, around"
2012,Topic_6,0.10868544119669593,"government, people, one, years, come, speaker, want, policy, issue, labor"
2012,Topic_7,0.09373517408231168,"minister, can, now, national, billion, way, labor, small, energy, funding"
2012,Topic_8,0.16968001800939736,"committee, report, mr, members, time, superannuation, made, standing, australian, order"
2012,Topic_9,0.09467284575381686,"bill, act, prime, also, work, ensure, leave, within, fair, number"
2012,Topic_10,0.10822221668841246,"will, per, health, industry, time, government, cent, question, important, australians"
2013,Topic_1,0.0738189208642842,"people, tax, health, education, per, business, first, scheme, government's, private"
2013,Topic_2,0.1423973749470597,"minister, committee, speaker, standing, protection, also, matter, security, given, ndis"
2013,Topic_3,0.07379653753122216,"work, many, million, think, country, national, jobs, infrastructure, just, much"
2013,Topic_4,0.11009552735608354,"member, said, know, community, like, question, great, today, party, go"
2013,Topic_5,0.07632126498612252,"australia, make, important, now, want, support, new, services, number, parliament"
2013,Topic_6,0.12111709083363918,"$, going, prime, one, say, opposition, funding, billion, years, just"
2013,Topic_7,0.07583374308881444,"can, us, school, new, disability, right, policy, last, better, around"
2013,Topic_8,0.14600069306851166,"australian, bill, legislation, report, act, mr, industry, order, financial, amendment"
2013,Topic_9,0.10597961253686607,"will, government, need, cent, time, carbon, support, future, system, fact"
2013,Topic_10,0.07463923478739655,"house, members, local, south, year, opportunity, two, communities, commonwealth, another"
2014,Topic_1,0.10283120189624859,"will, make, get, need, us, say, country, question, business, system"
2014,Topic_2,0.1063773367786339,"people, tax, health, budget, can, cent, going, put, per, speaker"
2014,Topic_3,0.08218241491550414,"$, just, know, education, funding, students, regional, legislation, university, higher"
2014,Topic_4,0.0804536281987025,"bill, per, carbon, ensure, amendments, best, legislation, amendment, services, nation"
2014,Topic_5,0.08679685676683935,"australian, year, jobs, last, job, mr, act, financial, young, provide"
2014,Topic_6,0.08634181920303036,"australia, one, work, time, new, many, community, australians, electorate, million"
2014,Topic_7,0.14462403986329075,"government, labor, member, minister, house, go, back, want, every, money"
2014,Topic_8,0.10225489663770869,"will, said, years, now, like, also, members, today, right, parliament"
2014,Topic_9,0.10758383387317352,"minister, also, prime, local, state, report, committee, important, program, project"
2014,Topic_10,0.10055397186686821,"industry, billion, important, good, great, energy, south, trade, school, economic"
